year	month	SOI
2005	1	0.18
2005	2	-2.86
2005	3	0.02
2005	4	-1.12
2005	5	-1.45
2005	6	0.26
2005	7	0.09
2005	8	-0.69
2005	9	0.39
2005	10	1.09
2005	11	-0.2
2005	12	0.01
2006	1	1.27
2006	2	0.01
2006	3	1.38
2006	4	1.44
2006	5	-0.98
2006	6	-0.63
2006	7	-0.76
2006	8	-1.59
2006	9	-0.58
2006	10	-1.6
2006	11	-0.14
2006	12	-0.35
2007	1	-0.78
2007	2	-0.27
2007	3	-0.14
2007	4	-0.3
2007	5	-0.27
2007	6	0.5
2007	7	-0.5
2007	8	0.27
2007	9	0.14
2007	10	0.54
2007	11	0.92
2007	12	1.44
2008	1	1.41
2008	2	2.13
2008	3	1.22
2008	4	0.45
2008	5	-0.35
2008	6	0.42
2008	7	0.22
2008	8	0.91
2008	9	1.35
2008	10	1.34
2008	11	1.71
2008	12	1.33
2009	1	0.94
2009	2	1.48
2009	3	0.02
2009	4	0.86
2009	5	-0.74
2009	6	-0.23
2009	7	0.16
2009	8	-0.5
2009	9	0.39
2009	10	-1.47
2009	11	-0.6
2009	12	-0.7
2010	1	-1.01
2010	2	-1.45
2010	3	-1.06
2010	4	1.52
2010	5	1
2010	6	0.18
2010	7	2.05
2010	8	1.88
2010	9	2.49
2010	10	1.83
2010	11	1.64
2010	12	2.71
2011	1	1.99
2011	2	2.23
2011	3	2.14
2011	4	2.51
2011	5	0.21
2011	6	0.02
2011	7	1.07
2011	8	0.21
2011	9	1.17
2011	10	0.73
2011	11	1.38
2011	12	2.3
2012	1	0.94
2012	2	0.25
2012	3	0.29
2012	4	-0.71
2012	5	-0.27
2012	6	-1.04
2012	7	-0.17
2012	8	-0.5
2012	9	0.26
2012	10	0.24
2012	11	0.39
2012	12	-0.6
2013	1	-0.11
2013	2	-0.36
2013	3	1.05
2013	4	0.03
2013	5	0.84
2013	6	1.39
2013	7	0.81
2013	8	-0.05
2013	9	0.39
2013	10	-0.19
2013	11	0.92
2013	12	0.06
2014	1	1.22
2014	2	-0.13
2014	3	-1.33
2014	4	0.86
2014	5	0.44
2014	6	-0.15
2014	7	-0.3
2014	8	-1.14
2014	9	-0.76
2014	10	-0.8
2014	11	-1
2014	12	-0.55
2015	1	-0.78
2015	2	0.06
2015	3	-1.12
2015	4	-0.38
2015	5	-1.37
2015	6	-1.2
2015	7	-1.47
2015	8	-1.98
2015	9	-1.78
2015	10	-2.02
2015	11	-0.53
2015	12	-0.91
2016	1	-1.97
2016	2	-1.97
2016	3	-0.47
2016	4	-2.2
2016	5	0.28
2016	6	0.58
2016	7	0.42
2016	8	0.53
2016	9	1.35
2016	10	-0.43
2016	11	-0.07
2016	12	0.26
2017	1	0.13
2017	2	-0.22
2017	3	0.51
2017	4	-0.63
2017	5	0.05
2017	6	-1.04
2017	7	0.81
2017	8	0.33
2017	9	0.69
2017	10	0.91
2017	11	1.18
2017	12	-0.14
2018	1	0.89
2018	2	-0.6
2018	3	1.05
2018	4	0.45
2018	5	0.21
2018	6	-0.55
2018	7	0.16
2018	8	-0.69
2018	9	-1
2018	10	0.3
2018	11	-0.01
2018	12	0.93
